labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,labeled_object.basic_level
285,3085681,3086951,dog,q,y,MOT,dog
286,3087314,3088601,dog,n,y,CHI,dog
287,3088942,3090449,doggy,q,y,MOT,dog
288,3095003,3095663,cow,n,y,MOT,cow
289,3095664,3096686,cow,q,y,MOT,cow
290,3098364,3100052,pony,d,y,MOT,pony
291,3101790,3103022,pig,q,y,MOT,piggy
292,3103023,3103979,pig,q,y,MOT,piggy
293,3108009,3109193,duck,n,y,MOT,duck
294,3109347,3110117,duck,d,y,MOT,duck
295,3117127,3117962,deer,n,y,MOT,deer
296,3122215,3123482,elephant,q,y,MOT,elephant
297,3125746,3127046,elephant,q,y,MOT,elephant
298,3127169,3129488,elephant,d,y,MOT,elephant
299,3129489,3130200,giraffe,n,y,MOT,giraffe
300,3132106,3133448,elephant,q,y,MOT,elephant
301,3133449,3134702,elephant,d,y,MOT,elephant
302,3134794,3136286,elephant,i,y,MOT,elephant
303,3138715,3140246,page,d,y,MOT,page
304,3149434,3151005,wallaby,n,y,MOT,wallaby
305,3151842,3153347,elephant,q,n,MOT,elephant
306,3159180,3161300,elephant,q,y,MOT,elephant
307,3164305,3165143,elephant,q,y,MOT,elephant
308,3166507,3167537,zebra,d,y,MOT,zebra
309,3168368,3169517,elephant,d,y,MOT,elephant
310,3174649,3175424,elephant,d,y,MOT,elephant
311,3175425,3176385,elephant,q,y,MOT,elephant
312,3178655,3179648,elephant,q,y,MOT,elephant
313,3181197,3182618,zebra,n,y,MOT,zebra
314,3186772,3187856,elephant,d,y,MOT,elephant
315,3192621,3193688,owl,n,y,MOT,owl
316,3193689,3194729,owl,n,y,MOT,owl
317,3198761,3199876,lion,n,y,MOT,lion
318,3201244,3202286,lion,d,y,MOT,lion
319,3204674,3206048,animals,d,y,MOT,NA
320,3215944,3216779,butterfly,n,y,MOT,butterfly
321,3224725,3226013,cow,n,y,MOT,cow
322,3226074,3226904,cow,d,y,MOT,cow
323,3238225,3239180,zebra,n,y,MOT,zebra
324,3242822,3243595,zebra,d,y,MOT,zebra
325,3245284,3246572,star,n,y,MOT,star
326,3248830,3250466,star,q,y,MOT,star
327,3254121,3255680,emu,n,y,MOT,emu
328,3258811,3260081,ladybug,n,y,MOT,ladybug
329,3267005,3268026,moth,n,y,MOT,moth
330,3278519,3279881,zebra,n,y,MOT,zebra
331,3288298,3289412,fish,n,y,MOT,fish
332,3291243,3292277,dog,n,y,MOT,dog
333,3292679,3293531,bunny,n,y,MOT,bunny
334,3294522,3295513,kitty+cat,n,y,MOT,kitty
335,3296910,3297920,kitty,q,y,MOT,kitty
336,3298447,3299343,cat,q,y,MOT,cat
337,3313029,3314670,zebra,n,y,MOT,zebra
338,3322359,3323528,star,q,y,MOT,star
339,3324922,3326960,starfish,n,y,MOT,starfish
340,3334966,3335646,worm,n,y,MOT,worm
341,3338067,3339137,beetle,n,y,MOT,beetle
342,3342585,3344133,worm,i,y,MOT,worm
343,3357435,3358549,zebra,n,y,MOT,zebra
344,3362009,3363689,zebra,n,y,MOT,zebra
345,3369002,3369838,elephant,n,y,MOT,elephant
346,3375000,3376064,fish,n,y,MOT,fish
347,3376621,3377488,dog,n,y,MOT,dog
348,3378825,3379859,bunny,n,y,MOT,bunny
349,3384582,3385337,elephant,q,y,MOT,elephant
350,3385338,3386195,zoo,q,n,MOT,zoo
351,3386908,3388142,elephants,q,y,MOT,elephant
352,3388143,3389000,zoo,q,n,MOT,zoo
353,3403051,3403051,%com: child phonology for zebra,NA,NA,NA,NA
354,3403051,3404609,bra,n,y,CHI,zebra
355,3404408,3405566,zebra,n,y,MOT,zebra
356,3411331,3412166,bunny,n,y,MOT,bunny
357,3415721,3416720,monkey,n,y,MOT,monkey
358,3416812,3417772,monkey,q,y,MOT,monkey
359,3418800,3419698,monkey,q,n,MOT,monkey
360,3420445,3421208,monkey,d,n,MOT,monkey
361,3427943,3429120,Charlie,n,y,MOT,Charlie
362,3435227,3436058,tooth,n,n,MOT,tooth
363,3438322,3440414,slippers,n,y,MOT,slipper
364,3463375,3464009,slippers,q,y,MOT,slipper
365,3464010,3464768,socks,q,n,MOT,sock
366,3677975,3678936,hat,d,n,MOT,hat
367,3705816,3706775,squirrel,n,y,MOT,squirrel
368,3707148,3707983,squirrel,i,y,MOT,squirrel
369,3710062,3710866,squirrel,q,y,MOT,squirrel
370,3712603,3714460,school+bus,d,y,MOT,bus
