tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,closets,d,y,MOT,4797030_4798840,closet
*OLN,closets,d,y,MOT,4800640_4801470,closet
*FAN,closets,q,y,MOT,4811880_4812820,closet
*TVN,closets,d,n,MOT,15088700_15089750,closet
*FAN,closets,d,n,MOT,21824600_21828240,closet
*FAN,cloth,d,n,MOT,17516830_17517830,cloth
*FAN,clothes,d,y,MOT,5730880_5735110,clothes
*OLN,clothes,d,y,MOT,5913770_5914590,clothes
*FAN,clothes,q,y,MOT,21247450_21248450,clothes
*CHN,clothes,q,y,MOT,21250100_21251390,clothes
*FAN,clothes,d,y,MOT,22005450_22007350,clothes
*CXN,clothes,d,y,MOT,22021260_22022130,clothes
*FAN,clothes,d,y,MOT,22480650_22483990,clothes
*FAN,clothing,d,u,MOT,15900730_15901740,clothing
*FAN,cookies,d,n,MOT,3674740_3676050,cookies
*CXN,cup,q,n,MOT,3636780_3638120,cup
*FAN,diaper,d,y,MOT,4550060_4551080,diaper
*CHN,diaper,d,y,MOT,4708700_4710240,diaper
*FAN,diaper,q,n,MOT,4869160_4870440,diaper
*FAN,diaper,q,n,MOT,21255570_21257170,diaper
*FAN,diapers,d,n,MOT,4755470_4758240,diaper
*OLN,diapers,q,n,MOT,14580490_14581950,diaper
*TVF,diapers,d,n,MOT,15836710_15837710,diaper
*FAN,diapers,d,y,MOT,15879070_15880200,diaper
*FAF,dinosaur,d,n,MOT,5145780_5147760,dinosaur
*OLN,dinosaur,d,n,MOT,14308680_14310340,dinosaur
*OLN,dinosaur,d,n,SIS,14314240_14317850,dinosaur
*FAN,dinosaur,d,n,MOT,14383320_14385420,dinosaur
*CXN,dinosaur,q,n,MOT,18940360_18941660,dinosaur
*FAN,dinosaur,d,n,MOT,18947370_18950620,dinosaur
*FAN,dinosaur,q,n,MOT,18964360_18965870,dinosaur
*FAN,dinosaur,q,n,MOT,19004030_19005360,dinosaur
*FAN,dinosaur,d,n,MOT,19384410_19385250,dinosaur
*FAN,dishes,d,y,MOT,4538350_4540670,dishes
*FAN,dog,d,n,MOT,4538350_4540670,dog
*CXN,dogs,d,n,MOT,4256250_4257800,dog
*FAN,dogs,d,n,MOT,14693760_14697560,dog
*CHN,dogs,d,y,MOT,17430150_17431920,dog
*CXN,door,q,n,MOT,20219440_20220830,door
*CXN,door,q,y,MOT,21776090_21776970,door
*OLF,doors,s,n,TVN,6970960_6974440,door
*OLN,doors,s,n,TVN,6977740_6979550,door
*OLF,driver,s,n,TVN,7000540_7001340,driver
*OLN,driver,s,n,TVN,7004810_7006580,driver
*OLN,ear,q,n,MOT,20645220_20646020,ear
